geneid		r		left		right
ENSG00000239462		3		98621268		98737406
ENSG00000227920		6		37512921		37518636
ENSG00000240476		3		98699902		98701940
ENSG00000234534		9		5040945		5041940
ENSG00000223947		2		101610138		101618706
ENSG00000241305		3		98934068		98935110
ENSG00000226058		2		101992049		101992517
ENSG00000225945		6		37783553		37786994
ENSG00000240572		3		99045221		99045396
ENSG00000243296		3		99219191		99224352
ENSG00000223826		2		102095852		102103284
ENSG00000243089		3		99226031		99245957
ENSG00000237549		2		102125992		102126684
ENSG00000246541		4		95038943		95128707
ENSG00000244464		3		99316908		99342664
ENSG00000232556		2		102137296		102138438
ENSG00000218521		6		37970608		37971089
ENSG00000261533		3		99898411		99900574
ENSG00000204982		9		33613846		33614007
ENSG00000226533		6		38449468		38450307
ENSG00000226925		2		102789081		102798568
ENSG00000243974		3		99944218		99944917
ENSG00000233170		8		37604854		37605522
ENSG00000205716		2		102866317		102866715
ENSG00000243495		3		100383894		100384320
ENSG00000217227		6		38555099		38556305
ENSG00000250494		8		54074899		54075547
ENSG00000236785		2		103027703		103028568
ENSG00000213431		3		100629819		100631019
ENSG00000236525		2		103050417		103051800
ENSG00000234389		2		103055173		103056935
ENSG00000260091		4		120330488		120331388
ENSG00000242573		3		100881938		100882830
ENSG00000249481		6		44310397		44344904
ENSG00000236757		2		103489798		103512180
ENSG00000231991		9		33624223		33625532
ENSG00000241738		3		101076136		101078086
ENSG00000234460		9		90479081		90481205
ENSG00000224095		2		103583866		103600887
ENSG00000236355		6		38681827		38682993
ENSG00000254339		8		115294296		115308068
ENSG00000232830		3		101133072		101133477
ENSG00000219273		6		38730681		38732470
ENSG00000159479		1		43849588		43855479
ENSG00000248280		4		120361716		120371312
ENSG00000181705		6		81208913		81209109
ENSG00000175841		3		101237711		101242731
ENSG00000216352		6		81265558		81266906
ENSG00000231150		6		38890805		38920875
ENSG00000242299		3		101295333		101295791
ENSG00000164603		7		112459202		112579971
ENSG00000144746		3		69134095		69155217
ENSG00000254687		8		54090131		54155243
ENSG00000243396		3		101318087		101318488
ENSG00000260484		8		54301261		54303432
ENSG00000218213		6		133997867		133998567
ENSG00000253681		8		77488786		77491580
ENSG00000234554		6		134081323		134167089
ENSG00000234122		9		33634109		33634244
ENSG00000223586		6		134142285		134172938
ENSG00000215206		9		33649045		33649612
ENSG00000245958		4		120375946		120473180
ENSG00000231810		9		111583977		111584284
ENSG00000204791		8		145104030		145106423
ENSG00000216753		6		134436362		134436631
ENSG00000220378		6		134618134		134619834
ENSG00000250897		4		95117091		95117664
ENSG00000237844		2		164606083		165208733
ENSG00000220076		6		38895807		38895929
ENSG00000213556		9		111598613		111598877
ENSG00000226089		6		82236819		82244632
ENSG00000182347		9		5084999		5086112
ENSG00000226847		2		165070049		165070924
ENSG00000227680		2		103603781		103605023
ENSG00000220556		6		39007379		39007761
ENSG00000229641		2		165178443		165178733
ENSG00000260230		9		111892573		111898218
ENSG00000260949		8		37920399		37921309
ENSG00000232031		6		82434439		82446070
ENSG00000241103		4		95290984		95291314
ENSG00000145113		3		195473636		195539148
ENSG00000217165		6		39078097		39080728
ENSG00000224850		2		103628237		103636356
ENSG00000219702		6		82473928		82474220
ENSG00000253437		8		37979892		37979998
ENSG00000224331		2		165543797		165544106
ENSG00000227730		9		5091093		5091604
ENSG00000229209		2		103726217		103792718
ENSG00000203436		4		95371802		95372043
ENSG00000224995		6		82523003		82523874
ENSG00000240015		8		37980792		37982169
ENSG00000231863		6		161352112		161390803
ENSG00000178814		8		145106167		145118735
ENSG00000227623		2		103892362		103892596
ENSG00000228166		9		5094139		5095014
ENSG00000236596		2		104110699		104112300
ENSG00000218986		6		39321523		39321948
ENSG00000213118		6		134714280		134715038
ENSG00000249951		4		95596396		95623721
ENSG00000173421		3		49235861		49295537
ENSG00000231276		6		39521587		39522719
ENSG00000253356		8		38006259		38021290
ENSG00000235033		6		39856566		39865156
ENSG00000230246		9		90529408		90538572
ENSG00000249599		4		95664951		95678684
ENSG00000224307		9		132044737		132048007
ENSG00000221849		2		104144078		104145719
ENSG00000233255		2		165697259		165705844
ENSG00000224083		9		5096666		5098193
ENSG00000236283		2		165848494		165947803
ENSG00000231723		2		104240088		104240288
ENSG00000233204		2		166141763		166142558
ENSG00000227913		6		162989411		162990760
ENSG00000237647		8		687651		1087777
ENSG00000254305		8		77515475		77516087
ENSG00000232597		2		104473428		104496667
ENSG00000236141		2		104482204		104486146
ENSG00000235192		2		166651361		166666520
ENSG00000240126		6		39865116		39867847
ENSG00000253416		8		77816827		77825635
ENSG00000180211		6		39926153		39926572
ENSG00000229195		2		166651367		166702601
ENSG00000179082		9		132083295		132087184
ENSG00000198198		1		43855553		43918321
ENSG00000220586		6		39960554		39967972
ENSG00000232411		2		166689558		166695608
ENSG00000233651		9		46698472		46705305
ENSG00000224490		2		166790367		166806401
ENSG00000253369		8		54307771		54308506
ENSG00000226429		9		46706671		46706979
ENSG00000254204		8		54427730		54428465
ENSG00000253739		8		38023530		38023636
ENSG00000253952		8		77925987		77926264
ENSG00000242936		4		96566103		96566444
ENSG00000224603		9		46755557		46755935
ENSG00000240215		9		33662164		33662661
ENSG00000248585		8		38059217		38061756
ENSG00000268615		9		132090540		132090680
ENSG00000250655		4		97133430		97134251
ENSG00000251379		4		15359765		15421656
ENSG00000233901		9		132094579		132121817
ENSG00000254366		8		78311308		78449526
ENSG00000217557		6		163378290		163378580
ENSG00000236107		2		166813909		167158294
ENSG00000235917		9		5098341		5099325
ENSG00000225437		6		163463589		163475193
ENSG00000237807		8		54427731		54436491
ENSG00000204801		9		46786249		46787634
ENSG00000240919		8		54445468		54446264
ENSG00000255487		8		38133406		38134198
ENSG00000248510		4		97231852		97740015
ENSG00000249930		4		15494353		15494596
ENSG00000164604		7		112720468		112727833
ENSG00000227131		6		40239305		40243976
ENSG00000237984		9		33673502		33677497
ENSG00000249194		2		166929812		166984523
ENSG00000254898		8		38193499		38195069
ENSG00000225182		2		167746012		167746394
ENSG00000124574		6		43395104		43418168
ENSG00000228097		9		5099560		5100229
ENSG00000206144		8		54449620		54452860
ENSG00000217514		6		163784242		163784495
ENSG00000204969		5		140174444		140391929
ENSG00000253668		8		54625257		54625456
ENSG00000254552		2		167980414		167997465
ENSG00000231165		9		33695765		33696057
ENSG00000236146		9		132142415		132142749
ENSG00000228222		2		168149681		168414843
ENSG00000131503		5		139781399		139929163
ENSG00000132170		3		12328867		12475855
ENSG00000214211		2		168570173		168572575
ENSG00000250958		5		101917072		101953293
ENSG00000177468		6		137813336		137815531
ENSG00000230676		9		132192931		132213701
ENSG00000235335		2		168671284		168797654
ENSG00000226453		6		82554902		82643197
ENSG00000196262		7		44836279		44864163
ENSG00000238259		2		169088431		169088730
ENSG00000260574		6		82679170		82679256
ENSG00000227617		2		169628463		169642939
ENSG00000220537		6		82973713		82974691
ENSG00000220091		6		83634548		83634841
ENSG00000228692		6		164007615		164009197
ENSG00000227215		6		83642320		83648396
ENSG00000144909		3		125247702		125313934
ENSG00000219951		6		84102135		84103128
ENSG00000188396		1		45271585		45272957
ENSG00000235538		6		164124936		164180873
ENSG00000260422		6		164505055		164506693
ENSG00000233280		3		97540884		97594133
ENSG00000222009		1		45274154		45281257
ENSG00000230627		6		164529652		164530726
ENSG00000163380		3		69156023		69172183
ENSG00000080200		3		97595819		97663810
ENSG00000244119		3		101431316		101432035
ENSG00000249474		3		101542637		101543842
ENSG00000214407		3		101659703		101716770
ENSG00000236764		4		97823952		97824201
ENSG00000237711		9		5100236		5101009
ENSG00000242178		3		165877809		165878158
ENSG00000240084		3		165878202		165878492
ENSG00000241280		3		101679202		101716770
ENSG00000254981		8		38258054		38259201
ENSG00000241754		3		102382007		102392757
ENSG00000253170		4		98041852		98056210
ENSG00000240824		3		165878565		165878907
ENSG00000255201		8		38279407		38283614
ENSG00000236691		3		102959831		102960074
ENSG00000254044		4		98255786		98554974
ENSG00000240107		3		103257479		103259331
ENSG00000242456		3		165878991		165879756
ENSG00000242326		3		165899101		165899608
ENSG00000243195		3		103349505		103349756
ENSG00000237874		6		84437774		84446244
ENSG00000239218		8		38291865		38293182
ENSG00000244429		3		166011544		166012141
ENSG00000214405		3		103781883		103782426
ENSG00000243635		3		104221544		104222110
ENSG00000236254		9		5107937		5109290
ENSG00000244321		3		166287481		166288551
ENSG00000244652		3		106044584		106045140
ENSG00000242759		3		106555658		106959488
ENSG00000237124		9		112062466		112063452
ENSG00000224962		3		166408975		166409503
ENSG00000251620		4		98288077		98411315
ENSG00000230225		9		5109496		5110762
ENSG00000240458		3		166439246		166439398
ENSG00000244202		9		112137746		112141260
ENSG00000231516		3		166528797		166529355
ENSG00000231971		6		134749378		134841723
ENSG00000235321		2		169957253		169957720
ENSG00000253361		8		38401170		38410198
ENSG00000240033		3		166552809		166562744
ENSG00000250293		4		98837504		98838552
ENSG00000213539		9		112295110		112296612
ENSG00000235995		2		169971705		169972190
ENSG00000239227		3		166579732		166579898
ENSG00000254100		8		38409766		38416538
ENSG00000228679		6		84693447		84717042
ENSG00000220343		3		166783553		166784113
ENSG00000247402		5		101941339		101941901
ENSG00000236567		9		5110913		5112849
ENSG00000239997		3		106567518		106568107
ENSG00000241669		3		167110584		167126307
ENSG00000241787		3		106613199		106614565
ENSG00000242697		4		98946541		98947391
ENSG00000241120		3		167412143		167412430
ENSG00000250682		5		101944860		102007263
ENSG00000230852		6		84732774		84734272
ENSG00000239632		3		106614576		106615255
ENSG00000242924		3		167582561		167594705
ENSG00000244214		3		167582637		167584402
ENSG00000254017		9		5113549		5114804
ENSG00000242214		3		106615330		106615668
ENSG00000244706		3		167584288		167588765
ENSG00000242836		3		106615738		106616518
ENSG00000253570		8		38458179		38458718
ENSG00000240292		3		167584423		167601170
ENSG00000096401		6		44355262		44418163
ENSG00000135940		2		98262503		98264846
ENSG00000118503		6		138188351		138204449
ENSG00000229827		2		170433881		170434256
ENSG00000239238		3		167606202		167606503
ENSG00000232939		9		112522640		112534323
ENSG00000226072		2		170514642		170517867
ENSG00000204634		2		101624079		101869328
ENSG00000206562		3		15422782		15482073
ENSG00000214846		4		15732585		15733250
ENSG00000248188		4		15744819		15745205
ENSG00000231550		2		170623695		170625309
ENSG00000251644		4		15866561		15867563
ENSG00000231776		6		85130746		85265870
ENSG00000249234		4		16180562		16184743
ENSG00000214369		2		170646603		170647395
ENSG00000249335		5		68128412		68257985
ENSG00000254269		8		1054882		1212580
ENSG00000146001		5		140613938		140617101
ENSG00000226309		6		85139302		85140520
ENSG00000226739		6		164767522		164769677
ENSG00000263327		4		16228286		16321763
ENSG00000255408		5		140180783		140391929
ENSG00000268402		6		143759575		143764295
ENSG00000227176		2		170933734		170934804
ENSG00000249580		3		106616518		106617115
ENSG00000236700		6		134758854		134825719
ENSG00000250289		5		68150737		68150912
ENSG00000034693		6		143771944		143811147
ENSG00000227455		6		165241239		165243106
ENSG00000250066		5		68259073		68263672
ENSG00000243658		3		106617736		106619438
ENSG00000249352		5		68266519		68325992
ENSG00000226355		9		132200495		132201397
ENSG00000081059		5		133450402		133487556
ENSG00000240034		3		106619440		106619702
ENSG00000217878		6		165530684		165531013
ENSG00000250630		3		106619701		106619928
ENSG00000256956		6		165957021		166400091
ENSG00000239586		3		106619915		106620812
ENSG00000178252		3		49044495		49053386
ENSG00000240796		3		106621020		106621370
ENSG00000261334		9		132242884		132244817
ENSG00000239455		3		106823758		106825847
ENSG00000204967		5		140186659		140391929
ENSG00000228053		9		112787161		112787638
ENSG00000117425		1		45285516		45308735
ENSG00000243701		3		106959539		107045811
ENSG00000232896		9		113361755		113367499
ENSG00000232310		6		134846463		134980974
ENSG00000112208		6		57037124		57049735
ENSG00000214904		4		98969706		98970194
ENSG00000254321		8		38558144		38562373
ENSG00000249864		9		5131979		5164251
ENSG00000115073		2		98272431		98280570
ENSG00000214559		4		99172839		99182781
ENSG00000242318		4		99330441		99330914
ENSG00000218772		6		134924702		134925836
ENSG00000253586		8		38657161		38659814
ENSG00000237553		9		5193339		5193558
ENSG00000251523		4		99417515		99431086
ENSG00000169855		3		78646390		79816965
ENSG00000214195		9		5311444		5311716
ENSG00000204054		9		132245730		132275947
ENSG00000253829		8		38702384		38703957
ENSG00000260641		4		99580055		99585701
ENSG00000214194		7		112756773		112758668
ENSG00000253645		8		38827879		38830530
ENSG00000175749		5		102368080		102368735
ENSG00000231967		9		5356312		5356525
ENSG00000249764		4		99634955		99635122
ENSG00000214190		9		5418373		5418976
ENSG00000243095		8		39015057		39016220
ENSG00000244227		3		167613736		167641799
ENSG00000227118		4		99661893		99662382
ENSG00000204965		5		140201222		140391929
ENSG00000231509		9		5584490		5588994
ENSG00000244159		8		54799568		54799804
ENSG00000260947		9		33697457		33700984
ENSG00000262096		5		140619518		140621864
ENSG00000253667		8		54883791		54886770
ENSG00000216824		Y		8286832		8287941
ENSG00000081842		5		140207563		140391929
ENSG00000255729		5		140699661		140700339
ENSG00000227301		9		33719688		33722553
ENSG00000233513		6		85397069		85398465
ENSG00000248449		5		140805853		140808219
ENSG00000233776		9		33732973		33738414
ENSG00000189366		3		125648118		125655882
ENSG00000114541		3		69219141		69591734
ENSG00000260955		8		54955549		54958189
ENSG00000242036		3		167674099		167674404
ENSG00000254274		8		54985674		54986126
ENSG00000241203		3		167676532		167676870
ENSG00000206120		3		167967310		168548387
ENSG00000248317		4		55809796		55822985
ENSG00000253678		8		10335001		10336885
ENSG00000244422		4		55842326		55842538
ENSG00000250646		4		55919227		55958701
ENSG00000253649		8		10340388		10405095
ENSG00000250812		4		56085511		56086140
ENSG00000250464		4		56179178		56180091
ENSG00000248896		8		10586824		10628902
ENSG00000251111		4		56217979		56218575
ENSG00000249700		4		56230138		56262009
ENSG00000204091		6		40302693		40347624
ENSG00000223918		9		113489736		113489959
ENSG00000114547		3		125687987		125702297
ENSG00000253695		8		10698086		10704011
ENSG00000227531		9		113901526		114047116
ENSG00000254839		8		10920157		10924599
ENSG00000224644		9		114336472		114337707
ENSG00000269918		8		10962201		10964214
ENSG00000250237		5		68334345		68339648
ENSG00000204173		9		114353872		114393569
ENSG00000239828		3		106991458		107101007
ENSG00000231898		2		171190438		171207628
ENSG00000181904		5		134181370		134195427
ENSG00000249183		5		68364752		68365027
ENSG00000248664		5		68408939		68432221
ENSG00000204092		6		40312083		40313890
ENSG00000132300		2		86333305		86369280
ENSG00000226070		6		40326483		40337213
ENSG00000256637		2		104490768		104694236
ENSG00000241218		3		107046677		107048044
ENSG00000236075		6		40469370		40470132
ENSG00000241469		3		107560150		107596940
ENSG00000228968		2		104741726		104763687
ENSG00000155849		7		36893961		37488852
ENSG00000226454		6		40484075		40491672
ENSG00000233955		2		105011460		105012738
ENSG00000214821		2		171458172		171458738
ENSG00000158435		2		101869264		101886778
ENSG00000213981		2		171494879		171551884
ENSG00000255310		8		10965298		10967236
ENSG00000058091		7		90095738		90839905
ENSG00000227157		2		105027659		105032070
ENSG00000232348		Y		8506335		8512883
ENSG00000225765		2		105028685		105030466
ENSG00000234350		2		171579719		171627276
ENSG00000235597		2		105049725		105137290
ENSG00000112210		6		57053581		57087078
ENSG00000254001		8		79060336		79066148
ENSG00000128692		2		171608221		171609562
ENSG00000235481		9		33785948		33818793
ENSG00000232827		9		46826492		46833319
ENSG00000225408		9		5719021		5720244
ENSG00000233699		Y		8551411		8551919
ENSG00000226007		9		46843638		46846025
ENSG00000253840		8		55160193		55160466
